Representative,Trimmed_Mean,ReportDate,TransactionDate,Ticker,Transaction,Amount,Party,House,Range,Sentiment,Price,Low_End,High_End,Adjusted_Low_End,Adjusted_High_End,Running_Portfolio_Low_End,Running_Portfolio_High_End,Est_Portfolio_Value,Shares_High_End,Shares_Low_End,Normalized_Amount
Alan S. Lowenthal,745.5811378848728,2022-01-27,2022-01-14,RUN,Purchase,1001.0,D,Representatives,1001-15000,,31.80999947,1001.0,15000.0,-1001.0,-15000.0,200226.09,1410000.0,805113.045,-471.54983495509,-31.46809231933634,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2021-12-25,2021-12-15,IWN,Sale,1001.0,D,Representatives,1001-15000,,156.6395111,1001.0,15000.0,1001.0,15000.0,206232.09,1500000.0,853116.045,95.76127947963188,6.390469383940768,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2022-01-27,2022-01-14,PSQ,Purchase,1001.0,D,Representatives,1001-15000,,11.03735065,1001.0,15000.0,-1001.0,-15000.0,201227.09,1425000.0,813113.545,-1359.0217866277535,-90.6920538942921,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2022-04-12,2022-04-06,NVDA,Sale,1001.0,D,Representatives,1001-15000,0.0092536,243.8168945,1001.0,15000.0,1001.0,15000.0,238236.09,1630000.0,934118.045,61.52157761979862,4.105539946494561,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2022-11-23,2022-11-04,TJX,Sale,1001.0,D,Representatives,1001-15000,,70.06454468,1001.0,15000.0,1001.0,15000.0,268236.73,1715000.0,991618.365,214.0883105500544,14.286826590706962,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2022-11-23,2022-11-04,TMUS,Sale,1001.0,D,Representatives,1001-15000,0.14342,148.8300018,1001.0,15000.0,1001.0,15000.0,284238.73,1780000.0,1032119.365,100.78613060931912,6.725794449328563,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2022-12-21,2022-12-09,GTLS,Purchase,1001.0,D,Representatives,1001-15000,,117.1999969,1001.0,15000.0,-1001.0,-15000.0,272240.73,1775000.0,1023620.365,-127.9863515081714,-8.540955857311973,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2022-10-29,2022-10-21,BSX,Sale,1001.0,D,Representatives,1001-15000,,40.56999969,1001.0,15000.0,1001.0,15000.0,261231.09,1625000.0,943115.545,369.73133139306657,24.673404181630644,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2019-12-17,2019-12-11,WCN,Purchase,1001.0,D,Representatives,1001-15000,,87.71599579,1001.0,15000.0,-1001.0,-15000.0,91612.83,565000.0,328306.415,-171.00643804935365,-11.411829632493534,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2019-12-17,2019-12-11,WCN,Purchase,1001.0,D,Representatives,1001-15000,,87.71599579,1001.0,15000.0,-1001.0,-15000.0,90611.83,550000.0,320305.915,-171.00643804935365,-11.411829632493534,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2021-02-05,2021-01-27,DD,Purchase,1001.0,D,Representatives,1001-15000,,74.07019043,1001.0,15000.0,-1001.0,-15000.0,176561.52,1180000.0,678280.76,-202.51061746865284,-13.514208539074769,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2021-02-05,2021-01-27,DD,Purchase,1001.0,D,Representatives,1001-15000,,74.07019043,1001.0,15000.0,-1001.0,-15000.0,160797.54,1115000.0,637898.77,-202.51061746865284,-13.514208539074769,1.3425768828322575
Alan S. Lowenthal,745.5811378848728,2021-02-05,2021-01-27,SPCE,Sale,1001.0,D,Representatives,1001-15000,,46.34999847,1001.0,15000.0,1001.0,15000.0,161798.54,1130000.0,645899.27,323.6246061520096,21.596548717210776,1.3425768828322575
